address;shares;value_before;value_after;loss_previewdiff;loss_analytic
0x102b555161062ffddabdab1e4fe8d1e36482e383;3998625338675177475617386882;4035151278743442431240;1725734418262003229378;2309416860481439201862;2309416860481439201861
0xe5072b3a0db4bc62fd5fb951e9b4c7effca780fd;333480512577211860034971;336526731761219036;143924161338112095;192602570423106941;192602570423106941
0xd443437880957010d574025c80f113c002595f8c;179294763181506637455752;180932553476881310;77380378912663085;103552174564218225;103552174564218224
0x279be517145a7b0990e55ba3e0a380c6d7a04ad9;150334280606698074853815;151707527775052509;64881558114067622;86825969660984887;86825969660984887
0xe83d579ccfd323aeafc2b03405dfedff43960fa8;111916345407153210892749;112938659172202102;48301071712613443;64637587459588659;64637587459588658
0x0a9dafaed64f012ce737c5b807c653293397b117;111026742122858069811031;112040929696154907;47917135015304439;64123794680850468;64123794680850467
0x5f37550493dcb36c659598bf0ececadad8a714f7;108478269020595560745916;109469177249639138;46817260089776534;62651917159862604;62651917159862603
0x0f27001a4c0b885b08abb61f9c470aee9c933a2a;30930264887614180210000;31212801235957049;13348943239628822;17863857996328227;17863857996328227
0xaba35edf7ba2756930cb8b03fdc7294933875922;25011184642512033046475;25239652416787525;10794375197299600;14445277219487925;14445277219487924
0x4159f5df51fab9b89335990fffaf1eb66008a4b1;19874715879081320192090;20056263941124471;8577568124217598;11478695816906873;11478695816906873
0xd0c7a59e3ce5a289b553ebf7659f5c3316ecfbb9;17492120723940723460982;17651904674452375;7549283122309237;10102621552143138;10102621552143138
0xc76dffdddcc823b4cfbd61cfdf507db6b5b5fcf1;15067005093447684634271;15204636523861680;6502647051825673;8701989472036007;8701989472036006
0xbe5b1afae3d69e0b193e18ba75ea27e45af9d681;14823867477003707157486;14959277936645403;6397713251448523;8561564685196880;8561564685196880
0x4d6e078e9c953f0eb1c3db41a0ae019ffa9bd857;14584262750663653967082;14717484511156740;6294304182580801;8423180328575939;8423180328575938
0xe15cd9d5aab921453dbe895d9249225405f3f1d2;14012579768989465944110;14140579420242980;6047576141254313;8093003278988667;8093003278988667
0x65bd15774f34c3a7e09df262c447c5fb1c91a8d9;12296993507796013089220;12409321923149479;5307160121327853;7102161801821626;7102161801821626
0x410073594c00d2a764fc17a423c36d94bada8477;9922702288957739944088;10013342446117797;4282458948228200;5730883497889597;5730883497889596
0xa3283feb23e1fc3912f5c65a1e9a5449bc2e1b94;7858268322179258605233;7930050650721037;3391486564234064;4538564086486973;4538564086486973
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5;7707985502140462212375;7778395053586839;3326627215570918;4451767838015921;4451767838015921
0xb4903033c1179191df4658670fe0fe6302fef2e0;6993108092630473294048;7056987507541335;3018099047528519;4038888460012816;4038888460012816
0x6c3233082f18fb73fea0779808d09167af10cf02;5099967469015313406951;5146553755637773;2201053774198382;2945499981439391;2945499981439391
0xdf16b92dedf10aa5d961c52e4b06766ba1649786;4993269068979198894467;5038880705807040;2155004673389948;2883876032417092;2883876032417091
0xa87e7535e6aa294c69b4ddb85ad5d0d743ab0afd;4976311254260431649965;5021767987822363;2147685987081522;2874082000740841;2874082000740841
